,DATE,Cost_KWH
459,2017-02-01,0.117
460,2017-03-01,0.103
461,2017-04-01,0.111
462,2017-05-01,0.111
463,2017-06-01,0.112
464,2017-07-01,0.11
465,2017-08-01,0.108
466,2017-09-01,0.112
467,2017-10-01,0.126
468,2017-11-01,0.122
469,2017-12-01,0.129
470,2018-01-01,0.124
471,2018-02-01,0.137
472,2018-03-01,0.118
473,2018-04-01,0.119
474,2018-05-01,0.125
475,2018-06-01,0.126
476,2018-07-01,0.125
477,2018-08-01,0.123
478,2018-09-01,0.127
479,2018-10-01,0.138
480,2018-11-01,0.138
481,2018-12-01,0.157
482,2019-01-01,0.144
483,2019-02-01,0.135
484,2019-03-01,0.13
485,2019-04-01,0.128
486,2019-05-01,0.126
487,2019-06-01,0.127
488,2019-07-01,0.122
489,2019-08-01,0.118
490,2019-09-01,0.124
491,2019-10-01,0.127
492,2019-11-01,0.129
493,2019-12-01,0.127
494,2020-01-01,0.123
495,2020-02-01,0.119
496,2020-03-01,0.114
497,2020-04-01,0.121
498,2020-05-01,0.124
499,2020-06-01,0.123
500,2020-07-01,0.121
501,2020-08-01,0.125
502,2020-09-01,0.139
503,2020-10-01,0.133
504,2020-11-01,0.145
505,2020-12-01,0.144
506,2021-01-01,0.139
507,2021-02-01,0.143
508,2021-03-01,0.144
509,2021-04-01,0.141
510,2021-05-01,0.138
511,2021-06-01,0.138
